,bigram,count
0,"('wallet', 'address')",174
1,"('stay', 'tuned')",174
2,"('pm', 'utc')",141
3,"('staking', 'pool')",113
4,"('mainnet', 'launch')",106
5,"('staking', 'reward')",101
6,"('excited', 'announce')",98
7,"('join', 'u')",89
8,"('make', 'sure')",86
9,"('new', 'partnership')",82
10,"('next', 'week')",80
11,"('coming', 'soon')",75
12,"('staking', 'program')",70
13,"('announce', 'partnership')",67
14,"('connect', 'wallet')",60
15,"('go', 'live')",58
16,"('last', 'week')",58
17,"('smart', 'contract')",57
18,"('get', 'ready')",53
19,"('thrilled', 'announce')",50
20,"('let', 'u')",49
21,"('dont', 'miss')",48
22,"('get', 'started')",47
23,"('strategic', 'partnership')",47
24,"('would', 'like')",47
25,"('closed', 'beta')",46
26,"('u', 'know')",46
27,"('liquid', 'staking')",45
28,"('new', 'staking')",44
29,"('nft', 'marketplace')",42
30,"('nft', 'collection')",41
31,"('announce', 'new')",39
32,"('beta', 'test')",37
33,"('full', 'update')",36
34,"('metamask', 'wallet')",35
35,"('happy', 'announce')",34
36,"('start', 'staking')",34
37,"('mobile', 'app')",34
38,"('staking', 'platform')",34
39,"('cant', 'wait')",34
40,"('gas', 'fee')",33
41,"('partnership', 'announcement')",33
42,"('dont', 'forget')",33
43,"('th', 'march')",33
44,"('app', 'store')",33
45,"('staking', 'period')",33
46,"('game', 'launch')",33
47,"('take', 'look')",32
48,"('crypto', 'blockchain')",32
49,"('new', 'listing')",32
50,"('exchange', 'listing')",32
51,"('roadmap', 'update')",31
52,"('earn', 'apy')",31
53,"('need', 'know')",31
54,"('delighted', 'announce')",31
55,"('alpha', 'test')",31
56,"('open', 'beta')",30
57,"('nft', 'staking')",29
58,"('today', 'pm')",29
59,"('chance', 'win')",29
60,"('pleased', 'announce')",29
61,"('weekly', 'update')",28
62,"('latest', 'update')",27
63,"('day', 'left')",27
64,"('read', 'full')",27
65,"('beta', 'tester')",27
66,"('blog', 'post')",27
67,"('look', 'forward')",26
68,"('help', 'u')",26
69,"('new', 'feature')",26
70,"('phase', 'ii')",26
71,"('defi', 'crypto')",26
72,"('token', 'listing')",26
73,"('registered', 'user')",26
74,"('flexible', 'staking')",26
75,"('giving', 'away')",25
76,"('total', 'supply')",25
77,"('keep', 'eye')",25
78,"('launch', 'date')",24
79,"('launch', 'new')",24
80,"('tag', 'friend')",24
81,"('defi', 'staking')",24
82,"('congratulations', 'winner')",24
83,"('hard', 'fork')",24
84,"('ido', 'solrazr')",24
85,"('use', 'case')",23
86,"('crypto', 'wallet')",23
87,"('thank', 'patience')",23
88,"('development', 'update')",23
89,"('team', 'ha')",23
90,"('looking', 'forward')",22
91,"('reward', 'distributed')",22
92,"('tuned', 'update')",22
93,"('reward', 'pool')",22
94,"('passive', 'income')",22
95,"('every', 'month')",22
96,"('claim', 'reward')",22
97,"('staked', 'token')",22
98,"('march', 'th')",22
99,"('pre', 'staked')",22
100,"('staked', 'keywords')",22
101,"('keywords', 'node')",22
102,"('node', 'node')",22
103,"('lucky', 'winner')",21
104,"('announce', 'launch')",21
105,"('update', 'new')",21
106,"('first', 'nft')",21
107,"('twitter', 'spaces')",21
108,"('team', 'working')",21
109,"('testnet', 'launch')",21
110,"('proud', 'announce')",21
111,"('feb', 'th')",20
112,"('liquidity', 'mining')",20
113,"('token', 'holder')",20
114,"('hardware', 'wallet')",20
115,"('mobile', 'wallet')",20
116,"('want', 'know')",20
117,"('crosschain', 'bridge')",20
118,"('node', 'presearch')",20
119,"('presearch', 'testnet')",20
120,"('giveaway', 'winner')",20
121,"('son', 'token')",20
122,"('brubeck', 'mainnet')",20
123,"('metaverse', 'nft')",19
124,"('reward', 'staking')",19
125,"('wallet', 'app')",19
126,"('new', 'token')",19
127,"('please', 'check')",19
128,"('th', 'jan')",19
129,"('jan', 'pm')",19
130,"('user', 'experience')",19
131,"('social', 'medium')",19
132,"('launch', 'mainnet')",19
133,"('announce', 'strategic')",19
134,"('single', 'staking')",19
135,"('would', 'love')",19
136,"('week', 'giveaway')",19
137,"('token', 'go')",19
138,"('january', 'th')",18
139,"('liquidity', 'pool')",18
140,"('weve', 'made')",18
141,"('official', 'launch')",18
142,"('carr', 'erc')",18
143,"('live', 'ama')",18
144,"('token', 'staking')",18
145,"('weekly', 'staking')",18
146,"('th', 'feb')",18
147,"('take', 'place')",18
148,"('full', 'detail')",18
149,"('ha', 'announced')",18
150,"('algo', 'nfts')",18
151,"('nft', 'launch')",18
152,"('user', 'full')",18
153,"('senso', 'token')",18
154,"('congratulations', 'admin')",18
155,"('admin', 'contact')",18
156,"('contact', 'via')",18
157,"('via', 'dm')",18
158,"('dm', 'asking')",18
159,"('asking', 'wallet')",18
160,"('wallet', 'number')",18
161,"('number', 'week')",18
162,"('winner', 'sensoweeklygiveaway')",18
163,"('exciting', 'announcement')",17
164,"('update', 'coming')",17
165,"('token', 'reward')",17
166,"('reward', 'stake')",17
167,"('new', 'year')",17
168,"('launch', 'first')",17
169,"('community', 'member')",17
170,"('wallet', 'amp')",17
171,"('february', 'th')",17
172,"('staking', 'live')",17
173,"('read', 'article')",17
174,"('working', 'hard')",17
175,"('new', 'website')",17
176,"('community', 'call')",17
177,"('gari', 'panda')",17
178,"('listing', 'price')",17
179,"('blockchain', 'network')",16
180,"('new', 'wallet')",16
181,"('set', 'reminder')",16
182,"('defi', 'protocol')",16
183,"('staking', 'campaign')",16
184,"('please', 'note')",16
185,"('earning', 'reward')",16
186,"('nft', 'holder')",16
187,"('supporting', 'u')",16
188,"('product', 'update')",16
189,"('great', 'news')",16
190,"('twitter', 'space')",16
191,"('next', 'step')",16
192,"('start', 'earning')",16
193,"('erc', 'token')",16
194,"('wallet', 'make')",16
195,"('near', 'future')",16
196,"('staking', 'contract')",16
197,"('lp', 'token')",16
198,"('interest', 'rate')",16
199,"('update', 'live')",16
200,"('bsc', 'wallet')",16
201,"('tell', 'u')",16
202,"('check', 'link')",16
203,"('gamefiigo', 'gafi')",16
204,"('native', 'token')",16
205,"('day', 'go')",16
206,"('private', 'sale')",16
207,"('polygon', 'wallet')",16
208,"('trade', 'finance')",16
209,"('projectseed', 'shill')",16
210,"('riowallet', 'app')",16
211,"('super', 'pumped')",16
212,"('pumped', 'launch')",16
213,"('space', 'falcon')",16
214,"('brand', 'new')",15
215,"('since', 'launch')",15
216,"('join', 'discord')",15
217,"('answer', 'question')",15
218,"('pm', 'pst')",15
219,"('new', 'roadmap')",15
220,"('sneak', 'peek')",15
221,"('lending', 'pool')",15
222,"('crypto', 'cryptocurrency')",15
223,"('wallet', 'connect')",15
224,"('upcoming', 'launch')",15
225,"('beta', 'launch')",15
226,"('le', 'hour')",15
227,"('check', 'wallet')",15
228,"('amp', 'get')",15
229,"('app', 'update')",15
230,"('amp', 'earn')",15
231,"('bug', 'fix')",15
232,"('everything', 'need')",15
233,"('thank', 'support')",15
234,"('staking', 'option')",15
235,"('hot', 'wallet')",15
236,"('dev', 'update')",15
237,"('trading', 'pair')",15
238,"('beta', 'testing')",15
239,"('community', 'update')",15
240,"('ertha', 'token')",15
